CÓDIGO_MUNICIPIO,TASA_MATRICULACIÓN_5_16,COBERTURA_BRUTA,SEDES_CONECTADAS_A_INTERNET
15763,73.2,86.38,23.81
15764,127.8,142.92,18.18
15774,56.9,61.13,21.43
15776,79.6,87.71,6.67
15778,65.7,72.46,16.67
15790,80.5,95.22,26.32
15798,77.8,83.31,25.0
15804,79.2,87.75,8.33
15806,62.7,73.67,50.0
15808,73.3,78.16,18.18
15810,98.2,118.69,33.33
15814,81.5,86.92,6.25
15816,81.7,87.57,7.14
15820,83.0,114.04,33.33
15822,96.6,119.81,81.25
15832,68.1,72.99,12.5
15835,111.0,120.26,22.22
15837,89.5,98.83,23.53
15839,126.5,149.14,27.27
15842,48.1,51.89,62.5
15861,80.8,91.18,40.91
15879,61.8,67.1,18.18
15897,98.5,103.51,5.26
17001,80.0,90.34,89.63
17013,79.4,92.2,29.41
17042,79.5,90.62,25.76
17050,79.4,94.48,23.53
17088,81.7,91.47,48.39
17174,79.2,87.85,59.38
17272,72.4,77.66,28.13
17380,76.6,89.31,74.07
17388,99.5,123.81,41.67
17433,60.3,72.7,23.4
17442,79.3,83.28,62.5
17444,70.9,81.17,37.5
17446,43.7,49.76,36.36
17486,48.8,54.62,27.78
17495,83.9,95.95,33.33
17513,64.2,76.02,23.08
17524,71.8,85.09,52.63
17541,59.5,70.99,15.56
17614,70.3,80.18,29.79
17616,91.3,105.15,21.43
17653,67.5,85.68,22.22
17662,66.6,74.67,25.88
17665,53.9,62.88,20.0
17777,83.8,96.83,34.78
17867,104.4,120.6,25.0
17873,82.7,90.48,40.54
17877,83.9,93.62,42.11
18001,90.6,111.23,5.84
18029,58.0,62.98,12.0
18094,66.1,76.23,6.67
18150,78.5,89.05,6.13
18205,64.9,80.94,6.25
18247,79.6,92.02,11.29
18256,53.0,64.73,14.55
18410,56.7,64.02,9.17
18460,67.4,76.25,13.11
18479,80.4,95.55,11.11
18592,71.7,81.82,6.59
18610,86.3,101.4,12.7
18753,70.2,80.46,7.14
18756,38.3,46.15,6.02
18785,68.5,80.3,14.29
18860,47.2,53.89,9.62
19001,107.9,122.02,70.31
19022,60.4,85.68,46.88
19050,86.8,100.75,33.33
19075,59.8,68.48,46.27
19100,65.7,100.1,29.79
19110,70.3,80.84,31.75
19130,74.5,89.59,21.0
19137,100.6,111.96,40.7
19142,160.7,219.27,21.43
19212,73.3,81.32,31.25
19256,86.3,102.24,19.39
19290,84.7,99.12,31.25
19300,65.8,81.77,11.76
19318,78.8,103.81,7.46
19355,76.8,87.55,49.28
19364,73.3,84.01,51.43
19392,88.5,143.57,25.53
19397,28.2,33.95,34.72
19418,95.1,123.47,20.63
19450,71.3,84.71,30.77
19455,58.3,72.18,20.0
19473,108.0,124.33,24.66
19513,97.1,180.96,7.14
19517,84.8,93.87,53.13
19532,74.4,91.2,34.83
19533,101.7,107.51,9.43
19548,74.6,85.67,44.0
19573,91.2,107.32,4.35
19585,71.1,85.03,26.83
19622,61.9,95.33,44.44
19693,52.0,57.82,48.57
19698,95.7,110.16,14.66
19701,38.6,43.22,61.76
19743,81.0,92.67,37.33
19760,47.3,57.46,12.12
19780,91.0,102.63,22.81
19785,59.5,68.26,46.43
19807,82.7,95.36,50.0
19809,99.6,135.06,6.56
19821,85.6,97.72,9.09
19824,76.2,84,43.18
19845,78.3,109.46,100.0
20001,88.9,99.81,20.11
20011,95.1,108.6,21.79
20013,115.9,129.88,11.21
20032,88.4,101.44,86.11
20045,154.1,173.95,10.2
20060,90.9,99.12,20.83
20175,105.0,120.49,45.24
20178,130.0,147.54,31.58
20228,134.5,146,19.57
20238,105.3,114.47,8.45
20250,148.3,171.08,37.04
20295,63.2,69.9,80.0
20310,60.2,64.95,65.0
20383,105.6,115.63,23.08
20400,173.3,195.17,22.86
20443,62.3,70.92,13.33
20517,98.5,109.65,25.0
20550,96.7,108.78,18.18
20570,84.5,95.85,20.0
20614,112.1,123.25,26.19
20621,110.4,123.95,17.91
20710,83.8,92.13,21.21
20750,121.5,138.34,52.38
20770,108.9,119.46,46.67
20787,109.7,121.41,50.0
23001,98.0,114.56,10.63
23068,81.0,92.81,20.24
23079,85.9,98.35,47.37
23090,80.5,87.89,28.21
23162,98.1,108.74,63.46
23168,78.2,85.79,71.43
23182,91.9,107.45,53.62
23189,80.5,91.84,63.79
23300,100.7,116.68,95.0
23350,70.9,79.95,71.43
23417,87.9,97.15,32.12
23419,60.8,69.42,48.28
23464,98.0,110.97,100.0
23466,93.9,103.76,36.21
23500,85.6,100.28,48.78
23555,95.4,107.76,47.13
23570,66.9,75.06,40.91
23574,67.4,75.74,30.0
23580,73.4,81.58,24.68
23586,92.7,109.08,52.0
23660,101.7,124.27,20.56
23670,83.8,93.48,74.42
23672,91.5,107.9,75.76
23675,85.8,97.62,54.05
23678,81.8,93.44,38.3
23682,99.7,108.79,22.73
23686,83.1,93.56,43.28
23807,87.3,97.17,37.32
23815,78.2,87.02,40.54
23855,76.8,83.84,36.84
25001,88.21,104.71,0.0
25019,79.1,101.89,35.71
25035,96.6,115.81,30.43
25040,109.2,123.77,20.0
25053,66.4,76.92,23.08
25086,81.8,101.69,30.0
25095,73.4,78.47,14.29
25099,64.5,73.43,33.33
25120,88.3,98.61,21.05
25123,56.4,67.88,46.15
25126,104.4,113.23,17.65
25148,62.4,72.88,16.46
25151,90.3,101.52,22.58
25154,69.6,76.88,23.08
25168,57.9,66.51,29.41
25175,103.5,113.51,100.0
25178,83.3,94.8,14.29
25181,95.9,106.37,13.33
25183,73.0,80.5,50.0
25200,77.1,84.85,47.37
25224,73.3,79.4,47.06
25245,100.1,121.73,53.57
25258,83.5,93.22,19.23
25260,102.7,111.44,11.11
25269,84.6,93.98,32.14
25279,89.9,97.04,24.24
25281,69.1,78.3,29.63
25286,114.6,123.53,41.18
25288,110.5,120.02,58.33
25290,93.3,105.44,10.17
25293,53.8,63.07,23.08
25295,69.3,75.74,80.0
25297,68.7,78.53,31.25
25299,82.1,100.3,26.67
25307,88.9,97.61,100.0
25312,71.3,79.76,72.73
25317,113.0,129.46,41.67
25320,53.2,66.22,14.06
25322,88.1,97.11,11.11
25324,70.0,81.54,50.0
25326,73.6,81.09,33.33
25328,87.4,105.66,38.46
25335,140.4,157.92,19.05
25339,71.7,82.97,15.0
25368,62.3,75.42,33.33
25372,57.2,64.17,19.23
25377,133.5,141.58,38.71
25386,85.2,99.06,30.77
25394,70.1,92.49,15.0
25398,64.6,78.82,33.33
25402,105.3,119.76,9.68
25407,82.8,89.21,25.0
25426,87.2,96.09,7.69
25430,102.2,108.74,15.0
25436,51.0,56.86,33.33
25438,70.8,77.42,13.33
25473,132.5,140.17,100.0
25483,74.1,87.07,60.0
25486,86.9,97.06,40.0
25488,47.8,54.87,5.88
25489,35.3,42.46,25.0
25491,71.2,102.56,31.58
25506,145.4,167.99,16.67
25513,78.8,87.11,14.49
25518,87.1,100.98,12.82
25524,66.1,81.27,46.15
25530,114.5,128.72,25.81
25535,75.4,89.56,6.45
25572,75.5,92.45,30.77
25580,72.6,84.9,22.22
25592,74.9,81.96,42.86
25594,91.6,109.21,15.38
25596,56.6,67.02,25.0
25599,73.0,84.51,6.25
25612,89.1,98.51,35.71
25645,73.9,85.72,42.86
25649,75.9,90.09,33.33
25653,73.7,89.78,11.11
25658,76.7,87.7,60.0
25662,79.1,93.4,5.88
25718,100.9,114.65,12.5
25736,65.7,73.65,50.0
25740,80.0,86.55,43.48
25743,85.1,98,46.67
25745,77.7,84.18,17.65
25754,96.3,104.91,83.87
25758,87.0,96.07,70.0
25769,116.4,126.13,44.44
25772,61.2,67.41,57.14
25777,73.3,83.78,31.58
25779,31.5,35.33,11.76
25781,90.7,102.03,50.0
25785,66.5,71.14,41.67
25793,80.8,84.55,29.41
25797,64.5,74.11,46.15
25799,158.2,168.04,75.0
25805,73.8,91.05,16.67
25807,61.9,66.28,36.36
25815,62.9,72.84,60.0
25817,98.9,110.49,100.0
25823,68.2,87.06,33.33
25839,71.5,80.87,35.85
25841,101.5,111.77,27.27
25843,102.0,114.33,67.86
25845,62.5,72.49,53.85
25851,59.1,70.53,30.77
25862,62.9,71.13,43.33
25867,78.1,87.9,26.67
25871,79.8,100.65,23.08
25873,86.9,94.84,39.13
25875,98.2,110.84,17.65
25878,102.5,120.27,20.83
25885,65.1,79.28,11.93
25898,56.8,65.09,41.67
25899,87.3,96.74,20.0
27001,93.5,105.42,52.48
27006,136.0,160.04,78.57
27025,49.3,62.31,8.11
27050,45.4,56.8,56.25
27073,139.6,160.65,23.26
27075,104.4,127.65,31.58
27077,85.9,102.48,18.06
27099,116.9,144.51,32.61
27135,55.6,80.12,50.0
27150,172.8,200.06,31.25
27160,42.4,51.93,33.33
27205,75.6,95,40.0
27245,48.1,59.34,38.24
27250,65.8,90.72,7.69
27361,120.2,145.41,47.62
27372,111.5,136.93,11.11
27413,79.2,95.12,40.0
27425,23.4,28.7,40.0
27430,67.8,82.03,41.07
27450,47.2,55.78,64.0
27491,79.1,90.98,42.11
27495,74.5,90.49,22.73
27580,47.2,59.44,40.0
27600,78.3,106.93,45.0
27615,100.0,118.48,53.7
27660,73.2,87.59,41.18
27745,66.4,79.11,50.0
27787,90.4,112.52,25.53
27800,78.1,102.27,91.43
27810,49.5,68.51,60.0
41001,101.5,113.7,8.43
41006,79.9,87.84,25.0
41013,81.0,92.39,38.1
41016,49.4,57.78,50.0
41020,85.5,93.31,16.95
41026,62.2,65.49,66.67
41078,59.1,65.61,23.33
41132,77.4,86.8,60.87
41206,47.1,53.18,19.23
41244,71.9,75.79,46.15
41298,67.7,76.26,33.33
41306,67.5,75.81,50.0
41319,73.4,82.71,24.0
41349,87.2,98.07,62.5
41357,81.0,89.19,29.03
41359,81.6,90.79,20.0
41378,81.5,89.62,30.3
41396,83.3,91.78,27.56
41483,90.2,98.22,36.36
41503,63.1,67.51,18.52
41518,92.1,107.62,36.36
41524,77.1,83.16,28.85
41530,85.9,94.25,12.5
41548,94.9,101.53,26.32
41551,95.1,108.62,3.8
41615,116.1,127.72,44.44
41660,84.5,91.13,12.5
41668,84.4,93.09,21.35
41676,78.3,85.99,25.64
41770,89.5,99.52,23.64
41791,86.0,93.64,35.29
41797,95.8,107.26,50.0
41799,63.0,68.42,19.57
41801,72.0,77.74,17.39
41807,85.7,97.16,51.35
41872,64.0,75.24,71.43
41885,72.8,80.7,75.0
44001,65.6,72.35,9.55
44035,93.3,109.18,12.5
44078,66.8,76.42,26.67
44090,72.0,80.08,27.27
44098,53.7,59.89,40.0
44110,67.1,76.17,25.0
44279,115.6,131.88,25.93
44378,56.9,62.43,16.67
44420,90.0,109.16,25.0
44430,94.3,109.28,6.32
44560,76.4,92.6,4.17
44650,112.5,124.4,40.0
44847,65.4,76.82,3.24
44855,49.3,57.12,20.0
44874,86.58,98.56,0.0
47001,89.7,102.15,71.1
47030,103.0,123.59,85.71
47053,80.5,97.01,31.37
47058,94.0,109.11,34.29
47161,97.6,116.5,88.89
47170,106.9,127.26,31.03
47189,101.8,116.42,22.22
47205,123.2,153.31,90.0
47245,108.1,130.52,71.43
47258,95.2,112.62,88.89
47268,100.0,118.54,70.0
47288,111.9,129.99,32.94
47318,94.1,106.72,64.29
47460,104.0,122.93,12.5
47541,107.2,117.73,69.23
47545,73.1,91.22,15.15
47551,112.1,133.37,43.1
47555,92.5,113.14,44.12
47570,67.2,80.57,62.5
47605,77.2,86.08,64.29
47660,82.7,105.84,51.28
47675,123.1,143.97,66.67
47692,115.5,143.5,58.54
47703,124.9,148.43,72.22
47707,76.6,86.02,40.54
47720,64.0,80.25,26.67
47745,69.4,76.78,77.78
47798,103.1,131.99,40.91
47960,95.6,104.58,61.54
47980,100.0,121.44,52.54
50001,91.8,103.79,4.64
50006,109.6,127.84,17.31
50110,137.2,147.99,100.0
50124,121.1,127.16,30.0
50150,126.3,142.3,18.18
50223,91.8,98.91,71.43
50226,106.7,117.52,75.0
50245,84.7,91.68,30.0
50251,118.4,127.09,12.0
50270,108.2,129.42,10.0
50287,84.9,91.45,24.14
50313,106.6,118.85,70.45
50318,132.1,146.03,61.54
50325,37.8,48.03,19.23
50330,74.4,87.3,7.69
50350,42.8,48.16,59.81
50370,46.1,51,38.64
50400,107.0,122.63,34.48
50450,39.3,43.04,13.79
50568,160.3,182.15,4.4
50573,95.9,103.71,42.5
50577,74.1,81.48,25.0
50590,51.0,54.98,4.88
50606,167.5,182.34,60.0
50680,103.1,113.2,60.0
50683,65.1,72.98,23.81
50686,67.5,71.03,12.5
50689,90.3,98.29,35.14
50711,64.7,72.5,5.97
52001,81.0,91.67,94.59
52019,28.8,31.71,89.47
52022,135.2,144.33,27.27
52036,85.2,96.14,12.5
52051,92.3,106.97,14.81
52079,87.3,112.1,26.52
52083,71.8,80.93,23.08
52110,66.1,76.99,16.18
52203,64.1,78.07,22.22
52207,89.7,97.12,13.64
52210,44.5,50.35,16.67
52215,97.4,106.89,48.48
52224,60.4,65.61,57.14
52227,69.5,80.62,16.67
52233,40.4,45.22,11.9
52240,76.2,91.05,30.43
52250,63.3,79.45,5.17
52254,74.7,89.39,20.0
52256,54.0,61.57,5.56
52258,86.8,99.24,11.63
52260,86.2,106.97,13.89
52287,76.1,83.92,25.0
52317,100.9,119.28,66.67
52320,75.0,84.98,27.59
52323,102.0,110.98,16.67
52352,77.5,87.72,14.29
52354,93.3,102.03,40.91
52356,74.0,86,75.61
52378,77.1,102.72,10.0
52381,73.6,84.05,15.15
52385,64.8,72.45,16.67
52390,42.1,56.01,10.0
52399,96.9,114.79,31.58
52405,47.9,52.49,9.76
52411,76.8,82.63,19.44
52418,26.7,30.96,7.69
52427,40.4,56.01,7.41
52435,70.6,83.08,47.62
52473,34.4,47.67,3.33
52480,61.7,68.47,66.67
52490,65.3,83.72,7.69
52506,61.0,67.89,25.0
52520,42.0,52.81,5.88
52540,63.3,73.81,13.89
52560,98.7,132.78,55.56
52565,25.7,28.58,14.29
52573,89.6,102.69,27.27
52585,87.1,103.23,60.0
52612,76.8,91.78,13.79
52621,57.0,75.74,12.07
52678,41.2,49.2,20.59
52683,62.4,70.36,55.56
52685,31.4,38.09,55.0
52687,73.8,83.3,26.0
52693,66.0,83.07,19.44
52694,58.1,64.47,10.53
52696,70.7,83,3.51
52699,19.4,21.44,5.41
52720,75.8,83.01,41.67
52786,72.9,82.92,40.48
52788,76.9,89.56,21.62
52835,79.0,97.95,24.41
52838,87.0,109.32,33.82
52885,73.9,83.91,30.43
54001,94.7,111.18,87.56
54003,72.7,92.02,9.09
54051,81.5,93.1,13.95
54099,85.1,95.78,22.22
54109,98.9,104.29,27.59
54125,118.3,140.85,28.57
54128,75.8,81.74,19.64
54172,84.5,98.69,50.0
54174,78.2,93.22,24.39
54206,149.5,173.92,14.94
54223,73.9,88.6,18.18
54239,88.4,102.13,5.88
54245,77.4,93.1,13.1
54250,153.7,179.5,11.27
54261,95.3,107.8,29.55
54313,80.0,94.55,34.62
54344,78.2,85.31,12.5
54347,51.9,57.98,30.77
54377,70.8,80.46,22.22
54385,77.6,89.99,17.74
54398,90.4,97.52,22.73
54405,85.7,94.72,56.0
54418,96.3,114.21,10.53
54480,90.9,98.53,53.33
54498,95.7,112.32,33.61
54518,70.4,83.6,36.36
54520,87.8,100.66,20.0
54553,72.5,83.32,60.0
54599,63.0,75.66,58.33
54660,99.2,112.87,15.91
54670,58.4,63.71,20.0
54673,98.3,116.33,25.0
54680,84.9,98.11,15.38
54720,84.9,96.6,15.32
54743,108.6,128.37,28.57
54800,58.6,63.77,29.41
54810,123.5,148.93,22.97
54820,88.3,98.36,23.08
54871,69.8,76.01,94.12
54874,79.2,90.22,64.29
63001,80.1,90.46,100.0
63111,94.9,109.31,16.67
63130,75.4,86.68,4.55
63190,74.0,82.01,44.44
63212,90.3,106.58,7.14
63272,78.4,89.19,33.33
63302,90.9,101.84,9.68
63401,67.3,78.36,85.71
63470,72.7,85.56,50.0
63548,106.2,139.14,33.33
63594,76.7,87.06,48.48
63690,137.4,146.48,35.29
66001,96.1,113.73,96.61
66045,47.8,52.86,4.76
