NoACCESOSFIJOSAINTERNET,INDICE,COD_MUNICIPIO
450,"4,12",54051
392,"4,21",54099
25,"0,35",54109
87,"2,76",54125
193,"1,56",54128
1204,"6,11",54172
217,"1,64",54174
69,"0,33",54206
188,"2,04",54223
274,"5,33",54239
187,"1,25",54245
99,"0,42",54250
1248,"4,08",54261
371,"4,47",54313
40,"0,35",54344
118,"1,51",54347
118,"1,66",54377
137,"1,05",54385
56,"0,65",54398
18816,"18,28",54405
162,"3,60",54418
94,"1,96",54480
6123,"4,56",54498
7134,"12,64",54518
412,"6,66",54520
860,"8,76",54553
228,"3,40",54599
45,"0,39",54660
16,"0,11",54670
87,"1,08",54673
21,"0,55",54680
1086,"3,78",54720
67,"0,95",54743
28,"0,15",54800
1682,"2,73",54810
546,"3,11",54820
73,"1,28",54871
18169,"15,75",54874
93411,"30,34",63001
25,"0,78",63111
11895,"15,66",63130
5971,"20,24",63190
537,"9,12",63212
978,"7,76",63272
48,"0,62",63302
5556,"15,87",63401
6230,"16,29",63470
322,"5,92",63548
4847,"15,22",63594
766,"7,86",63690
139782,"29,01",66001
730,"5,79",66045
168,"2,58",66075
2363,"9,35",66088
57997,"25,71",66170
51,"0,41",66318
478,"6,25",66383
4321,"15,17",66400
523,"3,04",66440
216,"1,23",66456
455,"2,72",66572
513,"1,84",66594
14287,"17,89",66682
1059,"8,26",66687
169912,"27,63",68001
17,"0,88",68013
14,"0,33",68020
634,"7,31",68051
5333,"16,23",68077
920,"8,29",68079
47181,"21,99",68081
92,"1,47",68092
59,"0,50",68101
38,"1,88",68121
100,"4,45",68132
102,"1,79",68147
19,"0,43",68152
69,"3,29",68160
250,"3,54",68162
379,"2,98",68167
71,"2,36",68169
58,"1,95",68176
65,"1,22",68179
2225,"6,27",68190
434,"7,21",68207
287,"8,87",68209
309,"8,06",68211
66,"1,26",68217
2293,"17,34",68229
210,"0,94",68235
46,"2,03",68245
29,"0,54",68250
493,"3,49",68255
13,"0,48",68264
53,"1,46",68266
22,"0,37",68271
80534,"23,96",68276
102,"3,39",68296
83,"1,98",68298
41972,"24,06",68307
942,"15,09",68318
282,"5,98",68320
1403,"56,53",68322
16,"0,36",68324
111,"2,07",68327
12,"0,50",68344
28,"0,82",68368
17,"1,22",68370
345,"5,21",68377
41,"0,39",68385
24,"0,46",68397
4946,"10,83",68406
298,"1,94",68418
16,"0,71",68425
1506,"6,98",68432
154,"2,90",68444
162,"1,50",68464
67,"1,57",68468
80,"1,30",68498
873,"7,91",68500
127,"2,98",68502
15,"1,00",68522
15,"0,57",68524
297,"6,06",68533
43974,"23,06",68547
471,"8,59",68549
373,"2,41",68572
62,"0,78",68573
1957,"5,50",68575
2438,"9,06",68615
1671,"4,82",68655
475,"5,23",68669
10,"0,33",68673
12468,"19,79",68679
18,"0,78",68682
185,"4,18",68684
44,"1,65",68686
2081,"5,74",68689
15,"0,60",68705
16,"0,45",68720
25,"0,23",68745
4529,"12,72",68755
404,"3,81",68770
33,"0,44",68773
258,"6,28",68780
110,"1,45",68820
307,"4,81",68855
1519,"5,82",68861
95,"4,09",68867
836,"9,57",68872
582,"5,86",68895
45187,"14,56",70001
391,"3,48",70110
48,"0,28",70124
7,"0,08",70204
6793,"9,62",70215
2081,"9,82",70221
2,"0,04",70230
22,"0,21",70233
1442,"5,94",70235
319,"1,68",70265
775,"5,43",70400
1001,"4,06",70418
1233,"2,96",70429
437,"2,67",70473
2006,"8,41",70508
275,"1,70",70523
2965,"5,64",70670
474,"1,53",70678
1201,"8,40",70702
1628,"2,64",70708
1815,"3,23",70713
1487,"7,41",70717
1427,"4,32",70742
220,"0,68",70771
1662,"4,82",70820
667,"2,89",70823
160058,"29,53",73001
43,"0,92",73024
523,"5,64",73026
180,"2,62",73030
25,"0,24",73043
2362,"17,53",73055
593,"2,97",73067
573,"2,97",73124
295,"2,65",73148
44,"0,69",73152
4427,"8,13",73168
227,"2,67",73200
716,"3,05",73217
73,"0,83",73226
58,"0,67",73236
16699,"22,32",73268
410,"5,17",73270
6084,"20,19",73275
1487,"4,65",73283
3907,"11,27",73319
103,"1,35",73347
5674,"21,83",73349
557,"4,44",73352
674,"3,60",73408
2839,"7,49",73411
5432,"13,82",73443
10187,"26,80",73449
15,"0,34",73461
741,"4,99",73483
499,"1,44",73504
837,"8,61",73520
344,"4,89",73547
554,"2,03",73555
125,"1,42",73563
2047,"8,54",73585
1484,"6,37",73616
228,"4,05",73622
617,"2,76",73624
199,"1,34",73671
36,"0,27",73675
598,"4,45",73678
31,"0,54",73686
257,"6,56",73770
15,"0,27",73854
824,"6,23",73861
133,"1,37",73870
14,"0,27",73873
550479,"24,14",76001
1373,"9,26",76020
1762,"7,66",76036
1779,"9,74",76041
193,"3,49",76054
618,"3,77",76100
23205,"7,18",76109
29937,"22,45",76111
2484,"9,55",76113
